Field	Type	Null	Key	Default	Extra
Provider License Number State Code_7	varchar(2)	YES		NULL	
Healthcare Provider Primary Taxonomy Switch_7	varchar(1)	YES		NULL	
Healthcare Provider Taxonomy Code_8	varchar(10)	YES		NULL	
Healthcare Provider Taxonomy_8	varchar(200)	YES		NULL	
Provider License Number_8	varchar(20)	YES		NULL	
Provider License Number State Code_8	varchar(2)	YES		NULL	
Healthcare Provider Primary Taxonomy Switch_8	varchar(1)	YES		NULL	
Healthcare Provider Taxonomy Code_9	varchar(10)	YES		NULL	
Healthcare Provider Taxonomy_9	varchar(200)	YES		NULL	
Provider License Number_9	varchar(20)	YES		NULL	
Provider License Number State Code_9	varchar(2)	YES		NULL	
Healthcare Provider Primary Taxonomy Switch_9	varchar(1)	YES		NULL	
Healthcare Provider Taxonomy Code_10	varchar(10)	YES		NULL	
Healthcare Provider Taxonomy_10	varchar(200)	YES		NULL	
Provider License Number_10	varchar(20)	YES		NULL	
Provider License Number State Code_10	varchar(2)	YES		NULL	
Healthcare Provider Primary Taxonomy Switch_10	varchar(1)	YES		NULL	
Healthcare Provider Taxonomy Code_11	varchar(10)	YES		NULL	
Healthcare Provider Taxonomy_11	varchar(200)	YES		NULL	
Provider License Number_11	varchar(20)	YES		NULL	
Provider License Number State Code_11	varchar(2)	YES		NULL	
Healthcare Provider Primary Taxonomy Switch_11	varchar(1)	YES		NULL	
Healthcare Provider Taxonomy Code_12	varchar(10)	YES		NULL	
Healthcare Provider Taxonomy_12	varchar(200)	YES		NULL	
Provider License Number_12	varchar(20)	YES		NULL	
Provider License Number State Code_12	varchar(2)	YES		NULL	
Healthcare Provider Primary Taxonomy Switch_12	varchar(1)	YES		NULL	
Healthcare Provider Taxonomy Code_13	varchar(10)	YES		NULL	
Healthcare Provider Taxonomy_13	varchar(200)	YES		NULL	
Provider License Number_13	varchar(20)	YES		NULL	
Provider License Number State Code_13	varchar(2)	YES		NULL	
Healthcare Provider Primary Taxonomy Switch_13	varchar(1)	YES		NULL	
Healthcare Provider Taxonomy Code_14	varchar(10)	YES		NULL	
Healthcare Provider Taxonomy_14	varchar(200)	YES		NULL	
Provider License Number_14	varchar(20)	YES		NULL	
Provider License Number State Code_14	varchar(2)	YES		NULL	
Healthcare Provider Primary Taxonomy Switch_14	varchar(1)	YES		NULL	
Healthcare Provider Taxonomy Code_15	varchar(10)	YES		NULL	
Healthcare Provider Taxonomy_15	varchar(200)	YES		NULL	
Provider License Number_15	varchar(20)	YES		NULL	
Provider License Number State Code_15	varchar(2)	YES		NULL	
Healthcare Provider Primary Taxonomy Switch_15	varchar(1)	YES		NULL	
Other Provider Identifier_1	varchar(20)	YES		NULL	
Other Provider Identifier Type_1	varchar(200)	YES		NULL	
Other Provider Identifier State_1	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_1	varchar(80)	YES		NULL	
Other Provider Identifier_2	varchar(20)	YES		NULL	
Other Provider Identifier Type_2	varchar(200)	YES		NULL	
Other Provider Identifier State_2	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_2	varchar(80)	YES		NULL	
Other Provider Identifier_3	varchar(20)	YES		NULL	
Other Provider Identifier Type_3	varchar(200)	YES		NULL	
Other Provider Identifier State_3	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_3	varchar(80)	YES		NULL	
Other Provider Identifier_4	varchar(20)	YES		NULL	
Other Provider Identifier Type_4	varchar(200)	YES		NULL	
Other Provider Identifier State_4	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_4	varchar(80)	YES		NULL	
Other Provider Identifier_5	varchar(20)	YES		NULL	
Other Provider Identifier Type_5	varchar(200)	YES		NULL	
Other Provider Identifier State_5	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_5	varchar(80)	YES		NULL	
Other Provider Identifier_6	varchar(20)	YES		NULL	
Other Provider Identifier Type_6	varchar(200)	YES		NULL	
Other Provider Identifier State_6	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_6	varchar(80)	YES		NULL	
Other Provider Identifier_7	varchar(20)	YES		NULL	
Other Provider Identifier Type_7	varchar(200)	YES		NULL	
Other Provider Identifier State_7	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_7	varchar(80)	YES		NULL	
Other Provider Identifier_8	varchar(20)	YES		NULL	
Other Provider Identifier Type_8	varchar(200)	YES		NULL	
Other Provider Identifier State_8	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_8	varchar(80)	YES		NULL	
Other Provider Identifier_9	varchar(20)	YES		NULL	
Other Provider Identifier Type_9	varchar(200)	YES		NULL	
Other Provider Identifier State_9	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_9	varchar(80)	YES		NULL	
Other Provider Identifier_10	varchar(20)	YES		NULL	
Other Provider Identifier Type_10	varchar(200)	YES		NULL	
Other Provider Identifier State_10	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_10	varchar(80)	YES		NULL	
Other Provider Identifier_11	varchar(20)	YES		NULL	
Other Provider Identifier Type_11	varchar(200)	YES		NULL	
Other Provider Identifier State_11	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_11	varchar(80)	YES		NULL	
Other Provider Identifier_12	varchar(20)	YES		NULL	
Other Provider Identifier Type_12	varchar(200)	YES		NULL	
Other Provider Identifier State_12	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_12	varchar(80)	YES		NULL	
Other Provider Identifier_13	varchar(20)	YES		NULL	
Other Provider Identifier Type_13	varchar(200)	YES		NULL	
Other Provider Identifier State_13	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_13	varchar(80)	YES		NULL	
Other Provider Identifier_14	varchar(20)	YES		NULL	
Other Provider Identifier Type_14	varchar(200)	YES		NULL	
Other Provider Identifier State_14	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_14	varchar(80)	YES		NULL	
Other Provider Identifier_15	varchar(20)	YES		NULL	
Other Provider Identifier Type_15	varchar(200)	YES		NULL	
Other Provider Identifier State_15	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_15	varchar(80)	YES		NULL	
Other Provider Identifier_16	varchar(20)	YES		NULL	
Other Provider Identifier Type_16	varchar(200)	YES		NULL	
Other Provider Identifier State_16	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_16	varchar(80)	YES		NULL	
Other Provider Identifier_17	varchar(20)	YES		NULL	
Other Provider Identifier Type_17	varchar(200)	YES		NULL	
Other Provider Identifier State_17	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_17	varchar(80)	YES		NULL	
Other Provider Identifier_18	varchar(20)	YES		NULL	
Other Provider Identifier Type_18	varchar(200)	YES		NULL	
Other Provider Identifier State_18	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_18	varchar(80)	YES		NULL	
Other Provider Identifier_19	varchar(20)	YES		NULL	
Other Provider Identifier Type_19	varchar(200)	YES		NULL	
Other Provider Identifier State_19	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_19	varchar(80)	YES		NULL	
Other Provider Identifier_20	varchar(20)	YES		NULL	
Other Provider Identifier Type_20	varchar(200)	YES		NULL	
Other Provider Identifier State_20	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_20	varchar(80)	YES		NULL	
Other Provider Identifier_21	varchar(20)	YES		NULL	
Other Provider Identifier Type_21	varchar(200)	YES		NULL	
Other Provider Identifier State_21	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_21	varchar(80)	YES		NULL	
Other Provider Identifier_22	varchar(20)	YES		NULL	
Other Provider Identifier Type_22	varchar(200)	YES		NULL	
Other Provider Identifier State_22	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_22	varchar(80)	YES		NULL	
Other Provider Identifier_23	varchar(20)	YES		NULL	
Other Provider Identifier Type_23	varchar(200)	YES		NULL	
Other Provider Identifier State_23	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_23	varchar(80)	YES		NULL	
Other Provider Identifier_24	varchar(20)	YES		NULL	
Other Provider Identifier Type_24	varchar(200)	YES		NULL	
Other Provider Identifier State_24	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_24	varchar(80)	YES		NULL	
Other Provider Identifier_25	varchar(20)	YES		NULL	
Other Provider Identifier Type_25	varchar(200)	YES		NULL	
Other Provider Identifier State_25	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_25	varchar(80)	YES		NULL	
Other Provider Identifier_26	varchar(20)	YES		NULL	
Other Provider Identifier Type_26	varchar(200)	YES		NULL	
Other Provider Identifier State_26	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_26	varchar(80)	YES		NULL	
Other Provider Identifier_27	varchar(20)	YES		NULL	
Other Provider Identifier Type_27	varchar(200)	YES		NULL	
Other Provider Identifier State_27	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_27	varchar(80)	YES		NULL	
Other Provider Identifier_28	varchar(20)	YES		NULL	
Other Provider Identifier Type_28	varchar(200)	YES		NULL	
Other Provider Identifier State_28	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_28	varchar(80)	YES		NULL	
Other Provider Identifier_29	varchar(20)	YES		NULL	
Other Provider Identifier Type_29	varchar(200)	YES		NULL	
Other Provider Identifier State_29	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_29	varchar(80)	YES		NULL	
Other Provider Identifier_30	varchar(20)	YES		NULL	
Other Provider Identifier Type_30	varchar(200)	YES		NULL	
Other Provider Identifier State_30	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_30	varchar(80)	YES		NULL	
Other Provider Identifier_31	varchar(20)	YES		NULL	
Other Provider Identifier Type_31	varchar(200)	YES		NULL	
Other Provider Identifier State_31	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_31	varchar(80)	YES		NULL	
Other Provider Identifier_32	varchar(20)	YES		NULL	
Other Provider Identifier Type_32	varchar(200)	YES		NULL	
Other Provider Identifier State_32	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_32	varchar(80)	YES		NULL	
Other Provider Identifier_33	varchar(20)	YES		NULL	
Other Provider Identifier Type_33	varchar(200)	YES		NULL	
Other Provider Identifier State_33	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_33	varchar(80)	YES		NULL	
Other Provider Identifier_34	varchar(20)	YES		NULL	
Other Provider Identifier Type_34	varchar(200)	YES		NULL	
Other Provider Identifier State_34	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_34	varchar(80)	YES		NULL	
Other Provider Identifier_35	varchar(20)	YES		NULL	
Other Provider Identifier Type_35	varchar(200)	YES		NULL	
Other Provider Identifier State_35	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_35	varchar(80)	YES		NULL	
Other Provider Identifier_36	varchar(20)	YES		NULL	
Other Provider Identifier Type_36	varchar(200)	YES		NULL	
Other Provider Identifier State_36	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_36	varchar(80)	YES		NULL	
Other Provider Identifier_37	varchar(20)	YES		NULL	
Other Provider Identifier Type_37	varchar(200)	YES		NULL	
Other Provider Identifier State_37	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_37	varchar(80)	YES		NULL	
Other Provider Identifier_38	varchar(20)	YES		NULL	
Other Provider Identifier Type_38	varchar(200)	YES		NULL	
Other Provider Identifier State_38	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_38	varchar(80)	YES		NULL	
Other Provider Identifier_39	varchar(20)	YES		NULL	
Other Provider Identifier Type_39	varchar(200)	YES		NULL	
Other Provider Identifier State_39	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_39	varchar(80)	YES		NULL	
Other Provider Identifier_40	varchar(20)	YES		NULL	
Other Provider Identifier Type_40	varchar(200)	YES		NULL	
Other Provider Identifier State_40	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_40	varchar(80)	YES		NULL	
Other Provider Identifier_41	varchar(20)	YES		NULL	
Other Provider Identifier Type_41	varchar(200)	YES		NULL	
Other Provider Identifier State_41	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_41	varchar(80)	YES		NULL	
Other Provider Identifier_42	varchar(20)	YES		NULL	
Other Provider Identifier Type_42	varchar(200)	YES		NULL	
Other Provider Identifier State_42	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_42	varchar(80)	YES		NULL	
Other Provider Identifier_43	varchar(20)	YES		NULL	
Other Provider Identifier Type_43	varchar(200)	YES		NULL	
Other Provider Identifier State_43	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_43	varchar(80)	YES		NULL	
Other Provider Identifier_44	varchar(20)	YES		NULL	
Other Provider Identifier Type_44	varchar(200)	YES		NULL	
Other Provider Identifier State_44	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_44	varchar(80)	YES		NULL	
Other Provider Identifier_45	varchar(20)	YES		NULL	
Other Provider Identifier Type_45	varchar(200)	YES		NULL	
Other Provider Identifier State_45	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_45	varchar(80)	YES		NULL	
Other Provider Identifier_46	varchar(20)	YES		NULL	
Other Provider Identifier Type_46	varchar(200)	YES		NULL	
Other Provider Identifier State_46	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_46	varchar(80)	YES		NULL	
Other Provider Identifier_47	varchar(20)	YES		NULL	
Other Provider Identifier Type_47	varchar(200)	YES		NULL	
Other Provider Identifier State_47	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_47	varchar(80)	YES		NULL	
Other Provider Identifier_48	varchar(20)	YES		NULL	
Other Provider Identifier Type_48	varchar(200)	YES		NULL	
Other Provider Identifier State_48	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_48	varchar(80)	YES		NULL	
Other Provider Identifier_49	varchar(20)	YES		NULL	
Other Provider Identifier Type_49	varchar(200)	YES		NULL	
Other Provider Identifier State_49	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_49	varchar(80)	YES		NULL	
Other Provider Identifier_50	varchar(20)	YES		NULL	
Other Provider Identifier Type_50	varchar(200)	YES		NULL	
Other Provider Identifier State_50	varchar(2)	YES		NULL	
Other Provider Identifier Issuer_50	varchar(80)	YES		NULL	
Healthcare Provider Taxonomy Group 1	varchar(200)	YES		NULL	
Healthcare Provider Taxonomy Group Description 1	varchar(500)	YES		NULL	
Healthcare Provider Taxonomy Group 2	varchar(200)	YES		NULL	
Healthcare Provider Taxonomy Group Description 2	varchar(500)	YES		NULL	
Healthcare Provider Taxonomy Group 3	varchar(200)	YES		NULL	
Healthcare Provider Taxonomy Group Description 3	varchar(500)	YES		NULL	
Healthcare Provider Taxonomy Group 4	varchar(200)	YES		NULL	
Healthcare Provider Taxonomy Group Description 4	varchar(500)	YES		NULL	
Healthcare Provider Taxonomy Group 5	varchar(200)	YES		NULL	
Healthcare Provider Taxonomy Group Description 5	varchar(500)	YES		NULL	
Healthcare Provider Taxonomy Group 6	varchar(200)	YES		NULL	
Healthcare Provider Taxonomy Group Description 6	varchar(500)	YES		NULL	
Healthcare Provider Taxonomy Group 7	varchar(200)	YES		NULL	
Healthcare Provider Taxonomy Group Description 7	varchar(500)	YES		NULL	
Healthcare Provider Taxonomy Group 8	varchar(200)	YES		NULL	
Healthcare Provider Taxonomy Group Description 8	varchar(500)	YES		NULL	
Healthcare Provider Taxonomy Group 9	varchar(200)	YES		NULL	
Healthcare Provider Taxonomy Group Description 9	varchar(500)	YES		NULL	
Healthcare Provider Taxonomy Group 10	varchar(200)	YES		NULL	
Healthcare Provider Taxonomy Group Description 10	varchar(500)	YES		NULL	
Healthcare Provider Taxonomy Group 11	varchar(200)	YES		NULL	
Healthcare Provider Taxonomy Group Description 11	varchar(500)	YES		NULL	
Healthcare Provider Taxonomy Group 12	varchar(200)	YES		NULL	
Healthcare Provider Taxonomy Group Description 12	varchar(500)	YES		NULL	
Healthcare Provider Taxonomy Group 13	varchar(200)	YES		NULL	
Healthcare Provider Taxonomy Group Description 13	varchar(500)	YES		NULL	
Healthcare Provider Taxonomy Group 14	varchar(200)	YES		NULL	
Healthcare Provider Taxonomy Group Description 14	varchar(500)	YES		NULL	
Healthcare Provider Taxonomy Group 15	varchar(200)	YES		NULL	
Healthcare Provider Taxonomy Group Description 15	varchar(500)	YES		NULL	
